name,state_code,city,founded_at,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,category_code,status,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,months_to_first_funding,months_to_last_funding,label
#waywire,NY,New York,2012-06-01,2012-06-30,2012-06-30,1,1750000,news,operating,0,0,0,0,0,0,0,0,0,1,0,0,Failure
1000memories,CA,San Francisco,2010-07-01,2010-01-01,2011-02-16,2,2535000,web,acquired,0,1,0,0,0,0,0,0,0,0,6,7,Success
100Plus,CA,San Francisco,2011-09-16,2011-11-02,2011-11-30,2,1250000,analytics,acquired,0,0,0,0,0,0,0,0,0,1,2,2,Success
1010data,NY,New York,2000-01-01,2010-03-08,2010-03-08,1,35000000,software,operating,1,0,0,0,0,0,0,0,0,0,122,122,Success
121nexus,RI,Providence,2011-10-07,2012-02-06,2013-07-01,4,719000,software,operating,1,0,0,0,0,0,0,0,0,0,4,21,Failure
1366 Technologies,MA,Lexington,2007-01-01,2008-03-27,2011-02-07,6,48950000,manufacturing,operating,0,0,0,0,0,0,0,0,0,1,14,49,Success
140 Proof,CA,San Francisco,2010-01-11,2009-07-01,2011-04-28,2,5500000,advertising,operating,0,0,0,0,1,0,0,0,0,0,6,15,Failure
15Five,CA,San Francisco,2011-05-01,2012-01-01,2013-01-15,2,1200000,software,operating,1,0,0,0,0,0,0,0,0,0,8,20,Failure
170 Systems,MA,Bedford,1990-01-01,2002-04-16,2002-04-16,1,14000000,software,acquired,1,0,0,0,0,0,0,0,0,0,147,147,Success
1World Online,CA,San Jose,2011-12-01,2013-07-02,2013-07-02,1,1000000,enterprise,operating,0,0,0,1,0,0,0,0,0,0,19,19,Failure
1stdibs,NY,New York,2001-01-01,2011-11-03,2012-12-03,3,42000000,ecommerce,operating,0,0,0,0,0,0,1,0,0,0,130,143,Success
2080 Media,GA,Atlanta,2008-01-01,2010-08-05,2013-07-19,5,40100000,news,operating,0,0,0,0,0,0,0,0,0,1,31,66,Success
20JEANS,CA,Los Angeles,2012-08-01,2013-02-01,2013-04-18,2,1000000,ecommerce,operating,0,0,0,0,0,0,1,0,0,0,6,8,Failure
20x200,NY,New York,2007-09-01,2009-10-01,2010-08-01,2,2800000,ecommerce,operating,0,0,0,0,0,0,1,0,0,0,25,35,Failure
23andMe,CA,Mountain View,2006-04-01,2007-05-01,2012-12-21,6,160549892,biotech,operating,0,0,0,0,0,0,0,1,0,0,13,80,Success
27 Perry,CO,Boulder,2012-07-25,2012-05-17,2012-05-17,1,118000,ecommerce,closed,0,0,0,0,0,0,1,0,0,0,2,2,Failure
2U,MD,Landover,2008-01-01,2009-03-25,2012-04-02,5,90775000,education,operating,0,0,0,0,0,0,0,0,0,1,14,51,Success
"2nd Story Software, Inc.",IA,Cedar Rapids,1998-02-15,2005-03-30,2005-03-30,1,85000000,software,acquired,1,0,0,0,0,0,0,0,0,0,85,85,Success
3-V Biosciences,CA,Palo Alto,2007-03-01,2009-07-10,2013-06-21,3,70000000,biotech,operating,0,0,0,0,0,0,0,1,0,0,28,75,Success
30 Second Showcase,NJ,Clifton,2013-04-01,2013-05-20,2013-05-20,1,25000,software,operating,1,0,0,0,0,0,0,0,0,0,1,1,Failure
33Across,NY,New York,2007-09-01,2009-03-13,2012-07-19,4,24134560,advertising,operating,0,0,0,0,1,0,0,0,0,0,18,58,Success
3Guppies,WA,Seattle,2003-01-01,2006-04-05,2006-04-05,1,20000000,games_video,operating,0,0,0,0,0,1,0,0,0,0,39,39,Success
3Jam,CA,San Francisco,2005-01-01,2007-07-01,2007-07-01,1,4000000,mobile,operating,0,0,1,0,0,0,0,0,0,0,30,30,Failure
3Leaf,CA,Santa Clara,2004-06-01,2007-04-30,2008-09-22,3,65000000,software,operating,1,0,0,0,0,0,0,0,0,0,34,51,Success
3Pillar Global,VA,Fairfax,2006-08-01,2010-04-21,2013-06-06,3,22520000,software,operating,1,0,0,0,0,0,0,0,0,0,44,82,Success
3Scan,CA,San Francisco,2011-01-01,2012-04-23,2012-04-23,1,350000,biotech,operating,0,0,0,0,0,0,0,1,0,0,15,15,Failure
3TIER,WA,Seattle,1999-01-01,2007-09-05,2010-02-25,3,15000000,cleantech,operating,0,0,0,0,0,0,0,0,0,1,104,133,Success
3VR,CA,San Francisco,2002-01-01,2006-01-17,2010-12-21,5,53000000,security,operating,0,0,0,0,0,0,0,0,0,1,48,107,Success
4-Tell,OR,Portland,2009-04-01,2011-07-01,2013-07-26,4,2234979,ecommerce,operating,0,0,0,0,0,0,1,0,0,0,27,51,Failure
410 Labs,MD,Baltimore,2010-01-01,2011-07-11,2011-07-11,1,750000,messaging,operating,0,0,0,0,0,0,0,0,0,1,18,18,Failure
41st Parameter,CA,San Jose,2004-01-01,2006-05-08,2012-04-11,4,38064570,security,operating,0,0,0,0,0,0,0,0,0,1,28,99,Success
42Floors,NY,New York,2011-01-01,2011-12-01,2013-01-31,3,17700000,real_estate,operating,0,0,0,0,0,0,0,0,0,1,11,24,Success
480 Biomedical,MA,Watertown,2011-01-01,2012-02-14,2013-04-12,3,37956999,biotech,operating,0,0,0,0,0,0,0,1,0,0,13,27,Success
4Home,CA,Sunnyvale,2006-01-01,2006-08-01,2010-02-03,5,9146354,software,acquired,1,0,0,0,0,0,0,0,0,0,7,49,Success
4INFO,CA,San Mateo,2004-01-01,2005-03-01,2013-08-04,6,60000000,advertising,operating,0,0,0,0,1,0,0,0,0,0,14,115,Success
4moms,PA,Pittsburgh,2005-01-01,2012-08-09,2012-08-09,1,20000000,hardware,operating,0,0,0,0,0,0,0,0,0,1,91,91,Success
4s3 Bioscience,MA,Medford,2007-01-01,2012-03-05,2012-03-05,1,20000000,biotech,operating,0,0,0,0,0,0,0,1,0,0,62,62,Success
